keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
Что такое ScreenLingo,Что такое ScreenLingo,What is ScreenLingo,Qu'est-ce que ScreenLingo,Cos'è ScreenLingo,Was ist ScreenLingo?,¿Qué es ScreenLingo?,O que é ScreenLingo,Що таке ScreenLingo,ScreenLingoとは何ですか,스크린링고(ScreenLingo)란 무엇인가?,什麼是 ScreenLingo,ما هو ScreenLingo,Wat is ScreenLingo,Apa itu ScreenLingo,स्क्रीनलिंगो क्या है,ScreenLingo Nedir?,什么是 ScreenLingo,ScreenLingo คืออะไร,ScreenLingo là gì,Czym jest ScreenLingo
"ScreenLingo переводит текст в играх и приложениях прямо поверх экрана. Он делает снимок экрана, распознаёт надписи, определяет их язык и показывает перевод поверх оригинала — игру сворачивать не нужно, а касания проходят сквозь перевод.","ScreenLingo переводит текст в играх и приложениях прямо поверх экрана. Он делает снимок экрана, распознаёт надписи, определяет их язык и показывает перевод поверх оригинала — игру сворачивать не нужно, а касания проходят сквозь перевод.","ScreenLingo translates text in games and apps right on top of the screen. It takes a screenshot, recognizes the text, detects its language and shows the translation over the original — no need to leave the game, and touches pass through the translation.","ScreenLingo traduit le texte dans les jeux et les applications directement en haut de l'écran. Il prend une capture d'écran, reconnaît les inscriptions, détermine leur langue et affiche la traduction par rapport à l'original - il n'est pas nécessaire de minimiser le jeu et les touches passent par la traduction.","ScreenLingo traduce il testo nei giochi e nelle app direttamente nella parte superiore dello schermo. Prende uno screenshot, riconosce le iscrizioni, determina la loro lingua e mostra la traduzione rispetto all'originale: non è necessario ridurre a icona il gioco e i tocchi eseguono la traduzione.","ScreenLingo übersetzt Text in Spielen und Apps direkt am oberen Bildschirmrand. Es macht einen Screenshot, erkennt die Inschriften, bestimmt ihre Sprache und zeigt die Übersetzung über dem Original an – das Spiel muss nicht minimiert werden, und Berührungen durchlaufen die Übersetzung.","ScreenLingo traduce texto en juegos y aplicaciones directamente en la parte superior de la pantalla. Toma una captura de pantalla, reconoce las inscripciones, determina su idioma y muestra la traducción sobre el original; no es necesario minimizar el juego y los toques revisan la traducción.","ScreenLingo traduz texto em jogos e aplicativos diretamente no topo da tela. Ele faz uma captura de tela, reconhece as inscrições, determina seu idioma e mostra a tradução sobre o original – não há necessidade de minimizar o jogo, e os toques passam pela tradução.","ScreenLingo перекладає текст в іграх та додатках прямо поверх екрана. Він робить знімок екрану, розпізнає написи, визначає їх мову і показує переклад поверх оригіналу - гру згортати не потрібно, а торкання проходять крізь переклад.",ScreenLingo は、ゲームやアプリ内のテキストを画面上で翻訳します。スクリーンショットを撮り、碑文を認識し、言語を決定し、オリジナルの上に翻訳を表示します。ゲームを最小化する必要はなく、タッチすると翻訳が行われます。,"ScreenLingo는 게임과 앱의 텍스트를 화면 바로 위에서 번역합니다. 스크린샷을 찍고, 비문을 인식하고, 언어를 결정하고, 원본에 대한 번역을 보여줍니다. 게임을 최소화할 필요가 없으며, 터치하면 번역이 진행됩니다.",ScreenLingo 可以在螢幕頂部翻譯遊戲和應用程式中的文字。它會截取螢幕截圖，識別銘文，確定其語言，並在原始內容上顯示翻譯 - 無需最小化遊戲，觸摸即可完成翻譯。,يقوم ScreenLingo بترجمة النص في الألعاب والتطبيقات مباشرة أعلى الشاشة. فهو يأخذ لقطة شاشة، ويتعرف على النقوش، ويحدد لغتها ويعرض الترجمة على النسخة الأصلية - ليست هناك حاجة لتصغير اللعبة، ويتم تمرير اللمسات خلال الترجمة.,"ScreenLingo vertaalt tekst in games en apps direct bovenaan het scherm. Het maakt een screenshot, herkent de inscripties, bepaalt hun taal en toont de vertaling van het origineel - het is niet nodig om het spel te minimaliseren, en aanrakingen gaan door de vertaling.","ScreenLingo menerjemahkan teks dalam game dan aplikasi tepat di atas layar. Dibutuhkan tangkapan layar, mengenali prasasti, menentukan bahasanya dan menunjukkan terjemahan dari aslinya - tidak perlu meminimalkan permainan, dan sentuhan dilakukan pada terjemahan.","स्क्रीनलिंगो गेम और ऐप्स में स्क्रीन के ठीक ऊपर टेक्स्ट का अनुवाद करता है। यह एक स्क्रीनशॉट लेता है, शिलालेखों को पहचानता है, उनकी भाषा निर्धारित करता है और मूल पर अनुवाद दिखाता है - गेम को छोटा करने की कोई आवश्यकता नहीं है, और अनुवाद के माध्यम से स्पर्श किया जाता है।","ScreenLingo, oyunlardaki ve uygulamalardaki metni ekranın hemen üstüne çevirir. Ekran görüntüsünü alır, yazıtları tanır, dillerini belirler ve çeviriyi orijinalin üzerinden gösterir - oyunu küçültmeye gerek yoktur ve çevirinin üzerinden dokunuşlar geçer.",ScreenLingo 可以在屏幕顶部翻译游戏和应用程序中的文本。它会截取屏幕截图，识别铭文，确定其语言，并在原始内容上显示翻译 - 无需最小化游戏，触摸即可完成翻译。,ScreenLingo แปลข้อความในเกมและแอปที่ด้านบนของหน้าจอ จับภาพหน้าจอ จดจำคำจารึก กำหนดภาษา และแสดงคำแปลเหนือต้นฉบับ ไม่จำเป็นต้องย่อขนาดเกม และสัมผัสผ่านการแปล,"ScreenLingo dịch văn bản trong trò chơi và ứng dụng ngay trên đầu màn hình. Nó chụp ảnh màn hình, nhận dạng các dòng chữ, xác định ngôn ngữ của chúng và hiển thị bản dịch so với bản gốc - không cần phải thu nhỏ trò chơi và các thao tác chạm sẽ được thực hiện trong bản dịch.","ScreenLingo tłumaczy tekst w grach i aplikacjach bezpośrednio na górze ekranu. Robi zrzut ekranu, rozpoznaje napisy, określa ich język i pokazuje tłumaczenie na oryginał - nie ma potrzeby minimalizowania gry, a dotknięcia przechodzą przez tłumaczenie."
Быстрый старт,Быстрый старт,Quick start,Démarrage rapide,Avvio rapido,Schnellstart,Inicio rápido,Início rápido,Швидкий старт,クイックスタート,빠른 시작,快速啟動,بداية سريعة,Snel beginnen,Mulai cepat,त्वरित शुरुआत,Hızlı başlangıç,快速启动,เริ่มต้นอย่างรวดเร็ว,Bắt đầu nhanh,Szybki start
На главной нажмите «Запустить оверлей». Появится плавающая кнопка «文A» и уведомление о работе перевода.,На главной нажмите «Запустить оверлей». Появится плавающая кнопка «文A» и уведомление о работе перевода.,On the Home tab tap “Start overlay”. A floating “文A” button appears together with a notification.,"Sur la page principale, cliquez sur « Lancer la superposition ». Un bouton flottant « 文A » apparaîtra et une notification indiquant que la traduction est en cours.","Nella pagina principale, fai clic su ""Avvia overlay"". Apparirà un pulsante mobile “文A” e una notifica che la traduzione è in corso.","Klicken Sie auf der Hauptseite auf „Overlay starten“. Es erscheint eine schwebende Schaltfläche „文A“ und eine Benachrichtigung, dass die Übersetzung ausgeführt wird.","En la página principal, haga clic en ""Iniciar superposición"". Aparecerá un botón flotante ""文A"" y una notificación de que la traducción está en progreso.","Na página principal, clique em “Iniciar sobreposição”. Um botão flutuante “文A” aparecerá e uma notificação de que a tradução está em andamento.","На головній натисніть ""Запустити оверлей"". З'явиться плаваюча кнопка «文A» та повідомлення про роботу перекладу.",メインページで「オーバーレイの起動」をクリックします。フローティング「文A」ボタンが表示され、翻訳が進行中であることが通知されます。,메인 페이지에서 “오버레이 시작”을 클릭하세요. 플로팅 “文A” 버튼이 나타나고 번역이 진행 중이라는 알림이 나타납니다.,在主頁上，按一下「啟動覆蓋」。將出現一個浮動的「文字A」按鈕，並顯示翻譯正在進行的通知。,"في الصفحة الرئيسية، انقر فوق ""إطلاق التراكب"". سيظهر زر ""文A"" عائم وإشعار بأن الترجمة قيد التقدم.",Klik op de hoofdpagina op 'Overlay starten'. Er verschijnt een zwevende “文A”-knop en een melding dat de vertaling bezig is.,"Di halaman utama, klik “Luncurkan overlay”. Akan muncul tombol mengambang “文A” dan pemberitahuan bahwa terjemahan sedang berlangsung.","मुख्य पृष्ठ पर, ""लॉन्च ओवरले"" पर क्लिक करें। एक फ़्लोटिंग ""文A"" बटन दिखाई देगा और एक अधिसूचना होगी कि अनुवाद प्रगति पर है।","Ana sayfada ""Yer paylaşımını başlat""ı tıklayın. Kayan bir “文A” düğmesi görünecek ve çevirinin devam ettiğini belirten bir bildirim görünecektir.",在主页上，单击“启动覆盖”。将出现一个浮动的“文A”按钮，并显示翻译正在进行的通知。,"ในหน้าหลัก คลิก ""เปิดภาพซ้อนทับ"" ปุ่ม ""文A"" แบบลอยจะปรากฏขึ้นและแจ้งเตือนว่าอยู่ระหว่างการแปล","Trên trang chính, nhấp vào “Khởi chạy lớp phủ”. Nút “文A” nổi sẽ xuất hiện và thông báo rằng quá trình dịch đang được tiến hành.","Na stronie głównej kliknij „Uruchom nakładkę”. Pojawi się pływający przycisk „文A” i powiadomienie, że tłumaczenie jest w toku."
Откройте игру или приложение и коснитесь плавающей кнопки. При первом нажатии Android попросит разрешить запись экрана — подтвердите.,Откройте игру или приложение и коснитесь плавающей кнопки. При первом нажатии Android попросит разрешить запись экрана — подтвердите.,Open a game or app and tap the floating button. On the first tap Android asks to allow screen capture — confirm it.,"Ouvrez un jeu ou une application et appuyez sur le bouton flottant. La première fois que vous appuyez dessus, Android vous demandera d'autoriser l'enregistrement d'écran - confirmez.","Apri un gioco o un'app e tocca il pulsante mobile. La prima volta che lo premi, Android ti chiederà di consentire la registrazione dello schermo: conferma.","Öffnen Sie ein Spiel oder eine App und tippen Sie auf die schwebende Schaltfläche. Beim ersten Drücken werden Sie von Android aufgefordert, die Bildschirmaufzeichnung zuzulassen – bestätigen Sie.","Abre un juego o aplicación y toca el botón flotante. La primera vez que lo presione, Android le pedirá que permita la grabación de pantalla; confirme.","Abra um jogo ou aplicativo e toque no botão flutuante. Na primeira vez que você pressioná-lo, o Android solicitará que você permita a gravação de tela – confirme.",Відкрийте гру або програму і торкніться кнопки плавання. При першому натисканні Android попросить дозволити запис екрана підтвердіть.,ゲームまたはアプリを開き、フローティング ボタンをタップします。初めて押すと、Android は画面録画を許可するかどうかを尋ねます - 確認します。,게임이나 앱을 열고 플로팅 버튼을 탭하세요. 이 버튼을 처음 누르면 Android에서 화면 녹화를 허용할지 묻는 메시지가 표시됩니다. 확인하세요.,打開遊戲或應用程式並點擊浮動按鈕。第一次按下它時，Android 會要求您允許螢幕錄製 - 確認。,افتح لعبة أو تطبيقًا واضغط على الزر العائم. عند الضغط عليه لأول مرة، سيطلب منك Android السماح بتسجيل الشاشة - قم بالتأكيد.,"Open een game of app en tik op de zwevende knop. De eerste keer dat u erop drukt, zal Android u vragen om schermopname toe te staan ​​- bevestig.","Buka game atau aplikasi dan ketuk tombol mengambang. Pertama kali Anda menekannya, Android akan meminta Anda mengizinkan perekaman layar - konfirmasi.","कोई गेम या ऐप खोलें और फ्लोटिंग बटन पर टैप करें। पहली बार जब आप इसे दबाएंगे, तो एंड्रॉइड आपसे स्क्रीन रिकॉर्डिंग की अनुमति देने के लिए कहेगा - पुष्टि करें।","Bir oyunu veya uygulamayı açın ve kayan düğmeye dokunun. İlk kez bastığınızda, Android sizden ekran kaydına izin vermenizi isteyecektir - onaylayın.",打开游戏或应用程序并点击浮动按钮。第一次按下它时，Android 会要求您允许屏幕录制 - 确认。,เปิดเกมหรือแอปแล้วแตะปุ่มลอย เมื่อกดครั้งแรก Android จะขอให้คุณอนุญาตการบันทึกหน้าจอ - ยืนยัน,"Mở một trò chơi hoặc ứng dụng và nhấn vào nút nổi. Lần đầu tiên bạn nhấn vào, Android sẽ yêu cầu bạn cho phép ghi màn hình - hãy xác nhận.",Otwórz grę lub aplikację i dotknij pływającego przycisku. Po pierwszym naciśnięciu Android poprosi Cię o zezwolenie na nagrywanie ekranu - potwierdź.
"Подождите секунду: ScreenLingo снимет экран, распознает текст и покажет перевод поверх оригинала.","Подождите секунду: ScreenLingo снимет экран, распознает текст и покажет перевод поверх оригинала.","Wait a second: ScreenLingo captures the screen, recognizes the text and shows the translation over the original.","Attendez une seconde : ScreenLingo capturera l'écran, reconnaîtra le texte et affichera la traduction par-dessus l'original.","Aspetta un secondo: ScreenLingo catturerà lo schermo, riconoscerà il testo e mostrerà la traduzione sull'originale.","Warten Sie eine Sekunde: ScreenLingo erfasst den Bildschirm, erkennt den Text und zeigt die Übersetzung über dem Original an.","Espere un segundo: ScreenLingo capturará la pantalla, reconocerá el texto y mostrará la traducción sobre el original.","Espere um segundo: o ScreenLingo irá capturar a tela, reconhecer o texto e mostrar a tradução sobre o original.","Зачекайте секунду: ScreenLingo знімає екран, розпізнає текст та покаже переклад поверх оригіналу.",ちょっと待ってください。ScreenLingo が画面をキャプチャし、テキストを認識し、元の文字の上に翻訳を表示します。,잠시 기다리십시오: ScreenLingo는 화면을 캡처하고 텍스트를 인식하고 원본 위에 번역을 표시합니다.,等一下：ScreenLingo 將捕獲螢幕、識別文字並在原文上顯示翻譯。,انتظر ثانية: سيقوم ScreenLingo بالتقاط الشاشة والتعرف على النص وإظهار الترجمة فوق النص الأصلي.,"Wacht even: ScreenLingo legt het scherm vast, herkent de tekst en toont de vertaling over het origineel.","Tunggu sebentar: ScreenLingo akan menangkap layar, mengenali teks dan menampilkan terjemahan dari aslinya.","एक सेकंड रुकें: स्क्रीनलिंगो स्क्रीन कैप्चर करेगा, टेक्स्ट को पहचानेगा और मूल पर अनुवाद दिखाएगा।","Bir saniye bekleyin: ScreenLingo ekranı yakalayacak, metni tanıyacak ve çeviriyi orijinalin üzerinde gösterecektir.",稍等一下：ScreenLingo 将捕获屏幕、识别文本并在原文上显示翻译。,รอสักครู่: ScreenLingo จะจับภาพหน้าจอ จดจำข้อความ และแสดงคำแปลเหนือต้นฉบับ,"Đợi một chút: ScreenLingo sẽ chụp màn hình, nhận dạng văn bản và hiển thị bản dịch trên bản gốc.","Poczekaj chwilę: ScreenLingo przechwyci ekran, rozpozna tekst i wyświetli tłumaczenie na oryginale."
Повторное касание кнопки убирает перевод. Кнопку можно перетащить в любое место экрана.,Повторное касание кнопки убирает перевод. Кнопку можно перетащить в любое место экрана.,Tap the button again to hide the translation. The button can be dragged anywhere on the screen.,Toucher à nouveau le bouton supprime la traduction. Le bouton peut être glissé n'importe où sur l'écran.,Toccando nuovamente il pulsante si rimuove la traduzione. Il pulsante può essere trascinato ovunque sullo schermo.,Durch erneutes Berühren der Schaltfläche wird die Übersetzung entfernt. Die Schaltfläche kann an eine beliebige Stelle auf dem Bildschirm gezogen werden.,Al tocar el botón nuevamente se elimina la traducción. El botón se puede arrastrar a cualquier lugar de la pantalla.,Tocar no botão novamente remove a tradução. O botão pode ser arrastado para qualquer lugar da tela.,Повторне торкання кнопки прибирає переклад. Кнопку можна перетягнути у будь-яке місце на екрані.,もう一度ボタンをタッチすると、翻訳が削除されます。ボタンは画面上のどこにでもドラッグできます。,버튼을 다시 터치하면 번역이 제거됩니다. 버튼은 화면의 어느 곳으로든 드래그할 수 있습니다.,再次觸碰該按鈕可刪除翻譯。此按鈕可以拖曳到螢幕上的任何位置。,يؤدي لمس الزر مرة أخرى إلى إزالة الترجمة. يمكن سحب الزر في أي مكان على الشاشة.,"Als u de knop nogmaals aanraakt, wordt de vertaling verwijderd. De knop kan overal op het scherm worden gesleept.",Menyentuh tombol itu lagi akan menghapus terjemahannya. Tombolnya dapat diseret ke mana saja di layar.,बटन को दोबारा छूने से अनुवाद हट जाता है। बटन को स्क्रीन पर कहीं भी खींचा जा सकता है।,Düğmeye tekrar dokunulduğunda çeviri kaldırılır. Düğme ekranda herhangi bir yere sürüklenebilir.,再次触摸该按钮可删除翻译。该按钮可以拖动到屏幕上的任何位置。,การแตะปุ่มอีกครั้งจะเป็นการลบการแปล สามารถลากปุ่มไปได้ทุกที่บนหน้าจอ,Chạm vào nút một lần nữa sẽ loại bỏ bản dịch. Nút có thể được kéo bất cứ nơi nào trên màn hình.,Ponowne dotknięcie przycisku usuwa tłumaczenie. Przycisk można przeciągnąć w dowolne miejsce na ekranie.
Как это работает,Как это работает,How it works,Comment ça marche,Come funziona,Wie es funktioniert,como funciona,Como funciona,Як це працює,仕組み,작동 원리,它是如何運作的,كيف يعمل,Hoe het werkt,Bagaimana cara kerjanya,यह कैसे काम करता है,Nasıl çalışır?,它是如何运作的,มันทำงานอย่างไร,Nó hoạt động như thế nào,Jak to działa
Снимок,Снимок,Capture,Instantané,Istantanea,Schnappschuss,Instantánea,Instantâneo,Знімок,スナップショット,스냅샷,快照,لقطة,Momentopname,Cuplikan,स्नैपशॉट,Anlık Görüntü,快照,สแนปชอต,Ảnh chụp nhanh,Migawka
Распознавание,Распознавание,Recognition,Reconnaissance,Riconoscimento,Anerkennung,Reconocimiento,Reconhecimento,Розпізнавання,認識,인식,認可,الاعتراف,Erkenning,Pengakuan,मान्यता,Tanıma,认可,การรับรู้,Sự công nhận,Uznanie
Язык,Язык,Language,Langue,Lingua,Sprache,Idioma,Idioma,Мова,言語,언어,語言,اللغة,Taal,Bahasa,भाषा,Dil,语言,ภาษา,Ngôn ngữ,Język
Перевод,Перевод,Translation,Traduction,Traduzione,Übersetzung,Traducción,Tradução,Переклад,翻訳,번역,翻譯,الترجمة,Vertaling,Terjemahan,अनुवाद,Çeviri,翻译,การแปล,Dịch thuật,Tłumaczenie
Плавающая кнопка,Плавающая кнопка,Floating button,Bouton flottant,Pulsante mobile,Schwebender Knopf,Botón flotante,Botão flutuante,Плаваюча кнопка,フローティングボタン,플로팅 버튼,浮動按鈕,زر عائم,Zwevende knop,Tombol mengambang,फ्लोटिंग बटन,Kayan düğme,浮动按钮,ปุ่มลอย,Nút nổi,Pływający przycisk
